"x"	"y"	"bio.1"	"bio.2"	"bio.4"	"bio.12"	"bio.15"
-54.25	13.25	NA	NA	NA	NA	NA
-53.75	13.25	NA	NA	NA	NA	NA
-53.25	13.25	NA	NA	NA	NA	NA
-52.75	13.25	NA	NA	NA	NA	NA
-52.25	13.25	NA	NA	NA	NA	NA
-51.75	13.25	NA	NA	NA	NA	NA
-51.25	13.25	NA	NA	NA	NA	NA
-50.75	13.25	NA	NA	NA	NA	NA
-50.25	13.25	NA	NA	NA	NA	NA
-49.75	13.25	NA	NA	NA	NA	NA
-49.25	13.25	NA	NA	NA	NA	NA
-48.75	13.25	NA	NA	NA	NA	NA
-48.25	13.25	NA	NA	NA	NA	NA
-47.75	13.25	NA	NA	NA	NA	NA
-47.25	13.25	NA	NA	NA	NA	NA
-46.75	13.25	NA	NA	NA	NA	NA
-46.25	13.25	NA	NA	NA	NA	NA
-45.75	13.25	NA	NA	NA	NA	NA
-45.25	13.25	NA	NA	NA	NA	NA
-44.75	13.25	NA	NA	NA	NA	NA
-44.25	13.25	NA	NA	NA	NA	NA
-43.75	13.25	NA	NA	NA	NA	NA
-43.25	13.25	NA	NA	NA	NA	NA
-42.75	13.25	NA	NA	NA	NA	NA
-42.25	13.25	NA	NA	NA	NA	NA
-41.75	13.25	NA	NA	NA	NA	NA
-41.25	13.25	NA	NA	NA	NA	NA
-40.75	13.25	NA	NA	NA	NA	NA
-40.25	13.25	NA	NA	NA	NA	NA
-39.75	13.25	NA	NA	NA	NA	NA
-39.25	13.25	NA	NA	NA	NA	NA
-38.75	13.25	NA	NA	NA	NA	NA
-38.25	13.25	NA	NA	NA	NA	NA
-37.75	13.25	NA	NA	NA	NA	NA
-37.25	13.25	NA	NA	NA	NA	NA
-36.75	13.25	NA	NA	NA	NA	NA
-36.25	13.25	NA	NA	NA	NA	NA
-35.75	13.25	NA	NA	NA	NA	NA
-35.25	13.25	NA	NA	NA	NA	NA
-34.75	13.25	NA	NA	NA	NA	NA
-34.25	13.25	NA	NA	NA	NA	NA
-33.75	13.25	NA	NA	NA	NA	NA
-33.25	13.25	NA	NA	NA	NA	NA
-32.75	13.25	NA	NA	NA	NA	NA
-32.25	13.25	NA	NA	NA	NA	NA
-31.75	13.25	NA	NA	NA	NA	NA
-31.25	13.25	NA	NA	NA	NA	NA
-30.75	13.25	NA	NA	NA	NA	NA
-30.25	13.25	NA	NA	NA	NA	NA
-89.75	12.75	NA	NA	NA	NA	NA
-89.25	12.75	NA	NA	NA	NA	NA
-88.75	12.75	NA	NA	NA	NA	NA
-88.25	12.75	NA	NA	NA	NA	NA
-87.75	12.75	NA	NA	NA	NA	NA
-87.25	12.75	26.65004001	5.838526504	95.61086841	498.8740008	100.0834793
-86.75	12.75	26.32917203	7.494735758	98.24758876	535.7186009	91.98016554
-86.25	12.75	26.71739222	9.299973277	97.03459529	580.4688297	86.14067341
-85.75	12.75	25.68088737	8.06637874	93.98391586	669.032189	80.92552571
-85.25	12.75	25.17200382	6.924805019	89.30117304	773.7316575	77.52418623
-84.75	12.75	25.06529469	5.592296404	82.30683215	835.0656047	76.88401294
-84.25	12.75	25.2492715	3.902341053	79.68794039	860.8973232	77.40216037
-83.75	12.75	25.63816675	2.364002941	81.8676885	854.1949671	78.9320573
-83.25	12.75	NA	NA	NA	NA	NA
-82.75	12.75	NA	NA	NA	NA	NA
-82.25	12.75	NA	NA	NA	NA	NA
-81.75	12.75	NA	NA	NA	NA	NA
-81.25	12.75	NA	NA	NA	NA	NA
-80.75	12.75	NA	NA	NA	NA	NA
-80.25	12.75	NA	NA	NA	NA	NA
-79.75	12.75	NA	NA	NA	NA	NA
-79.25	12.75	NA	NA	NA	NA	NA
-78.75	12.75	NA	NA	NA	NA	NA
-78.25	12.75	NA	NA	NA	NA	NA
-77.75	12.75	NA	NA	NA	NA	NA
-77.25	12.75	NA	NA	NA	NA	NA
-76.75	12.75	NA	NA	NA	NA	NA
-76.25	12.75	NA	NA	NA	NA	NA
-75.75	12.75	NA	NA	NA	NA	NA
-75.25	12.75	NA	NA	NA	NA	NA
-74.75	12.75	NA	NA	NA	NA	NA
