Sciname,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Sclerurus_albigularis,Sclerurus albigularis,Furnariidae,Passeriformes,7,1,4,2,1,22.9,15.9,4,4.8,21.3,85.9,15.5,72.7,17.5,63.5,34.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-18.89,11.35,-6.68,-70.245321379999993,522646.45,Extant
Sclerurus_caudacutus,Sclerurus caudacutus,Furnariidae,Passeriformes,17,4,8,5,4,23.9,15.6,4.2,4.9,22.6,90,15.7,74.7,17.4,63.4,36.23,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-21.21,8.44,-2.91,-62.627343080000003,5508699.6500000004,Extant
Sclerurus_guatemalensis,Sclerurus guatemalensis,Furnariidae,Passeriformes,10,1,5,4,3,21.8,16.6,4,4.7,21.7,87.7,15.3,73.3,17.2,61.8,34.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-1.69,18.579999999999998,11.85,-84.010276919999995,417195.64,Extant
Sclerurus_mexicanus,Sclerurus mexicanus,Furnariidae,Passeriformes,16,3,13,0,4,24,18.1,3.6,4.2,21.9,79.1,10.3,68.8,13,57.2,25.1,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-23.97,21.21,-3.51,-62.389060049999998,6362030.4000000004,Extant
Sclerurus_rufigularis,Sclerurus rufigularis,Furnariidae,Passeriformes,9,3,6,0,4,19.7,13.2,3.4,3.9,21.1,78.3,11.4,67.2,14.6,61.2,21.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-14.63,8.19,-2.44,-62.578971060000001,5320850.7300000004,Extant
Sclerurus_scansor,Sclerurus scansor,Furnariidae,Passeriformes,16,6,10,0,4,24.1,17.1,4.2,4.8,20.8,86,13.9,71.9,16.2,63.8,36.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-32.200000000000003,-2.73,-17.989999999999998,-47.21058086,2753139.07,Extant
Simoxenops_striatus,Simoxenops striatus,Furnariidae,Passeriformes,5,3,2,0,1,19.5,13.9,4.3,7,23.8,93.7,15.7,78,16.8,84,41.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-18.34,-13.09,-15.56,-67.174972510000003,81400.960000000006,Extant
Simoxenops_ucayalae,Simoxenops ucayalae,Furnariidae,Passeriformes,14,5,7,2,5,24.4,16.6,5,8.3,27,97.9,15.2,82.7,15.5,85.1,49.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-13.55,-3.31,-10.69,-69.478095510000003,286032.7,Extant
Siptornis_striaticollis,Siptornis striaticollis,Furnariidae,Passeriformes,8,1,4,3,4,11.8,7.4,2.6,3,16.5,62.4,14.1,48.3,22.8,50.6,13,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.58,2.44,-1.74,-77.96462812,20659.13,Extant
Siptornopsis_hypochondriaca,Siptornopsis hypochondriaca,Furnariidae,Passeriformes,10,3,7,0,4,19,12.1,3.4,4.5,21.3,64.8,8.6,56.4,13.2,95.1,24.45,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,-8.5299999999999994,-6.77,-7.57,-77.861305279999996,7553.51,Extant
