"x"	"y"	"id"	"bio.1"	"bio.2"	"bio.3"	"bio.4"	"bio.5"	"bio.6"	"bio.7"	"bio.8"	"bio.9"	"bio.10"	"bio.11"	"bio.12"	"bio.13"	"bio.14"	"bio.15"	"bio.16"	"bio.17"	"bio.18"	"bio.19"
-84.25	14.25	9782	24.96517393	4.054050052	60.57863365	101.1829599	28.34955522	21.65734411	6.69221111	25.77304374	24.46690277	25.86912734	23.75162188	998.6378858	171.657647	17.00609861	66.2301227	456.9039948	60.48099919	280.5961258	200.656766
-83.75	14.25	9882	25.54616947	3.025222968	53.95389543	96.72623074	28.346852	22.73980001	5.60705199	26.40358079	24.924581	26.40358079	24.48711893	940.6893008	164.6636658	14.55381007	68.75807265	442.2804699	51.86720408	442.2804699	188.6608258
-83.25	14.25	9973	25.8067446	2.008416007	44.45768567	93.1114643	28.07077316	23.55318306	4.5175901	26.72061479	25.05630634	26.72061479	24.92100619	845.2455277	151.5735939	12.12196792	71.88468702	411.1885504	43.19252854	411.1885504	165.862405
-82.75	14.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-82.25	14.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-81.75	14.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-81.25	14.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-80.75	14.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-80.25	14.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-79.75	14.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-79.25	14.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-78.75	14.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-78.25	14.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
