	Longitude(x)	Latitude(y)	PD	SR	PSVs	SR	vars	aMRD	aMDR	aAGES
275	-80.5	22.5	1.526674553	18	0.871506176	18	0.000182619	11	24.09546212	0.029746212
276	-79.5	22.5	1.256859792	13	0.887098942	13	0.000297774	11	23.97702437	0.027490814
277	-78.5	22.5	0.778210447	7	0.891196877	7	0.000827814	11.28571429	25.22695928	0.027218957
278	-77.5	22.5	0.16939862	1	NA	1	NA	14	29.87293225	0.019591102
279	-74.5	22.5	0.16939862	1	NA	1	NA	13	31.14293335	0.012195848
280	-73.5	22.5	0.16939862	1	NA	1	NA	15	31.03701886	0.028025429
281	-72.5	22.5	0.16939862	1	NA	1	NA	12	14.11875409	0.059419113
282	-106.5	21.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
283	-105.5	21.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
284	-104.5	21.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
285	-103.5	21.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
286	-102.5	21.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
287	-101.5	21.5	0.377974672	3	0.791450625	3	0.004459021	18	18.52257522	0.039418678
288	-100.5	21.5	0.377974672	3	0.791450625	3	0.004459021	18	18.52257522	0.039418678
289	-99.5	21.5	0.490375689	4	0.815214799	4	0.002397872	16.5	16.26335577	0.054453253
290	-98.5	21.5	0.78802706	7	0.807980944	7	0.000827814	17.42857143	18.56347111	0.045994787
291	-97.5	21.5	0.742563696	7	0.768211717	7	0.000827814	17.85714286	16.65903691	0.049431688
292	-90.5	21.5	0.437542583	4	0.699395876	4	0.002397872	18.25	19.89916003	0.038235107
293	-89.5	21.5	0.437542583	4	0.699395876	4	0.002397872	18.25	19.89916003	0.038235107
294	-88.5	21.5	0.437542583	4	0.699395876	4	0.002397872	18.25	19.89916003	0.038235107
295	-87.5	21.5	0.437542583	4	0.699395876	4	0.002397872	18.25	19.89916003	0.038235107
296	-86.5	21.5	0.287326101	2	0.880229382	2	0.012361281	16.5	22.42490043	0.037458286
297	-84.5	21.5	0.592130424	6	0.778844168	6	0.001092717	12.83333333	27.16772287	0.018784902
298	-83.5	21.5	0.679714077	8	0.777925162	8	0.000656137	12.5	24.30833809	0.023224126
299	-82.5	21.5	1.096489796	13	0.860300938	13	0.000297774	11.15384615	25.31078712	0.022471061
300	-81.5	21.5	0.994045401	10	0.873682678	10	0.000451789	11.3	23.18097362	0.02890317
301	-80.5	21.5	1.640058649	20	0.876451269	20	0.000156775	10.8	24.1091681	0.026611638
302	-79.5	21.5	1.640058649	20	0.876451269	20	0.000156775	10.8	24.1091681	0.026611638
303	-78.5	21.5	1.491847276	17	0.877302934	17	0.000198596	10.88235294	23.95049758	0.028822524
304	-77.5	21.5	1.504028233	17	0.871827329	17	0.000198596	10.88235294	23.30398755	0.030373932
305	-76.5	21.5	1.302465647	14	0.87486962	14	0.00026572	11	23.78675296	0.027236127
306	-75.5	21.5	0.365657993	3	0.803786555	3	0.004459021	13	27.07463975	0.021523654
307	-105.5	20.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
308	-104.5	20.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
309	-103.5	20.5	0.377974672	3	0.791450625	3	0.004459021	17.66666667	13.8167415	0.058607358
310	-102.5	20.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
311	-101.5	20.5	0.377974672	3	0.791450625	3	0.004459021	18	18.52257522	0.039418678
312	-100.5	20.5	0.377974672	3	0.791450625	3	0.004459021	18	18.52257522	0.039418678
313	-99.5	20.5	0.377974672	3	0.791450625	3	0.004459021	18	18.52257522	0.039418678
314	-98.5	20.5	0.958064073	9	0.793455007	9	0.00053761	17.22222222	17.59970773	0.04975578
315	-97.5	20.5	1.068294863	11	0.780913318	11	0.000387298	17.36363636	17.96781942	0.046233493
316	-96.5	20.5	0.847523533	8	0.783919883	8	0.000656137	17.25	16.2610646	0.054228858
317	-90.5	20.5	0.437542583	4	0.699395876	4	0.002397872	18.25	19.89916003	0.038235107
318	-89.5	20.5	0.437542583	4	0.699395876	4	0.002397872	18.25	19.89916003	0.038235107
319	-88.5	20.5	0.657607489	6	0.772790966	6	0.001092717	17.33333333	18.17959512	0.043810471
320	-87.5	20.5	0.510812987	5	0.674474612	5	0.00153918	19.2	21.29654947	0.036493672
321	-86.5	20.5	0.27219119	2	0.767260012	2	0.012361281	18	20.7740739	0.031898479
